pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,NEZEK,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2023029181,1,2023,8,2,2019,2211,0,1,2,9,1,,1
2023029181,2,2023,8,0,0,2211,0,1,2,23,99,0,1
2023042507,1,2023,8,8,2011,2211,0,1,4,1,5,1,1
2023042507,2,2023,8,8,2020,1122,0,1,2,1,3,2,1
2023020588,1,2023,8,8,2006,2211,0,1,2,1,99,,1
2023093957,1,2023,8,8,2023,2233,0,1,1,2,3,3,1
2023093957,2,2023,8,10,2008,3344,0,1,2,1,3,,1
2023018153,1,2023,8,5,2014,4433,0,1,2,1,3,1,1
2023018153,2,2023,8,4,2015,4433,0,1,3,1,3,1,1
2023070105,1,2023,8,8,2017,1122,0,1,2,1,99,1,1
2023049755,1,2023,8,0,0,1144,0,2,1,17,99,0,1
2023049755,2,2023,8,9,2020,2211,0,1,3,24,4,4,1
2023057464,1,2023,8,6,2007,4433,0,1,3,1,99,,1
2023047998,1,2023,8,6,2010,3344,0,1,3,1,99,1,1
2023047998,2,2023,8,8,2019,3344,0,1,3,1,5,2,1
2023055210,1,2023,8,6,2015,1122,0,1,2,1,3,1,1
2023055210,2,2023,8,6,2021,4433,0,1,1,12,3,1,1
2023084245,1,2023,8,4,2015,2233,0,1,1,19,99,1,1
2023046191,1,2023,8,6,2004,1122,0,1,1,1,99,1,1
2023046191,2,2023,8,8,2019,1122,0,1,1,1,99,2,1
2023085261,1,2023,8,6,2002,4433,0,1,1,1,1,1,1
2023091782,1,2023,7,0,0,0,0,1,0,17,99,0,1
2023091782,2,2023,7,4,2019,0,0,1,4,19,1,,1
2023054064,2,2023,8,4,2021,3344,0,1,1,1,3,1,1
2023054064,1,2023,8,4,2023,4433,0,1,1,1,3,1,1
2023015759,2,2023,8,2,2022,4433,0,1,4,9,1,1,1
2023015759,1,2023,8,4,2021,4411,0,1,4,1,3,1,1
2023073515,2,2023,8,13,2023,1122,0,1,3,7,99,17,1
2023073515,1,2023,8,9,2022,2211,0,1,3,24,99,6,1
2023008914,2,2023,8,6,2022,4433,0,1,4,1,3,1,1
2023008914,1,2023,8,6,2022,4433,0,1,4,1,2,1,1
2023092770,1,2023,8,6,2023,3311,0,1,4,2,3,2,1
2023081158,2,2023,8,6,2021,1122,0,1,3,1,3,2,1
2023081158,1,2023,8,13,2013,3311,0,1,1,6,99,14,1
2023071201,2,2023,8,0,0,3322,0,6,3,1,99,0,1
2023071201,1,2023,8,7,2008,3344,0,1,3,1,4,1,1
2023064977,2,2023,8,6,2022,2211,0,1,1,1,3,2,1
2023064977,1,2023,8,2,2022,2266,0,1,4,9,1,,1
2023040970,1,2023,8,2,2012,4433,0,1,2,10,1,,1
2023095319,1,2023,8,4,2019,2211,0,1,1,1,3,1,1
2023027741,2,2023,8,8,2019,2211,0,1,2,1,99,2,1
2023027741,1,2023,8,9,2018,1122,0,1,1,24,99,3,1
2023050644,2,2023,8,8,2021,2211,0,1,3,1,99,1,1
2023050644,1,2023,8,6,2021,2211,0,1,3,1,3,1,1
2023048924,2,2023,8,6,2000,1122,0,1,2,1,3,,1
2023048924,1,2023,8,4,2018,3311,0,1,2,1,3,1,1
2023061845,1,2023,8,6,2021,2211,0,1,4,1,3,1,1
2023047401,2,2023,8,7,2017,3344,0,1,2,1,5,2,1
2023047401,1,2023,8,6,2018,4433,0,1,2,1,3,1,1
2023066314,2,2023,8,0,2023,4433,0,1,3,1,3,2,1
2023066314,1,2023,8,6,2015,3344,0,1,3,1,3,1,1
2023004673,1,2023,8,10,2010,2211,0,1,4,1,99,2,1
2023076533,2,2023,8,6,2008,1166,0,1,1,1,3,,1
2023076533,1,2023,8,2,2014,2211,0,1,1,9,99,1,1
2023073523,1,2023,8,8,2020,4433,0,1,4,1,4,3,1
2023008031,1,2023,8,0,2023,1122,0,1,1,1,99,2,1
2023060224,2,2023,7,6,2011,2211,0,1,4,1,3,1,1
2023060224,1,2023,7,9,2002,1122,0,1,4,2,6,2,1
2023091834,2,2023,7,7,2010,4433,0,1,1,1,3,2,1
2023091834,1,2023,7,9,2022,1122,0,1,1,18,16,5,1
2023029437,1,2023,7,6,2004,3344,0,1,4,1,99,,1
2023022121,2,2023,7,2,2023,3344,0,1,1,9,1,,1
2023022121,1,2023,7,5,2015,2233,0,1,1,1,3,1,1
2023072524,2,2023,6,0,0,4433,0,1,4,23,99,0,1
2023072524,1,2023,6,0,0,1122,0,1,4,1,99,0,1
2023054753,2,2023,7,6,2021,1122,0,1,4,1,3,1,1
2023054753,1,2023,7,12,2021,1122,0,1,1,24,3,5,1
2023016974,2,2023,7,8,2018,2244,0,1,3,1,3,2,1
2023016974,1,2023,7,4,2019,2233,0,1,3,1,3,1,1
2023092838,2,2023,7,8,2017,1122,0,1,1,1,3,2,1
2023092838,1,2023,7,5,2010,1122,0,1,1,1,3,1,1
2023039161,2,2023,7,6,2015,4433,0,1,1,1,3,1,1
2023039161,1,2023,7,9,2010,3311,0,1,1,1,3,2,1
2023040544,2,2023,6,6,2010,2211,0,1,4,1,3,1,1
2023040544,1,2023,6,6,2016,1144,0,1,4,1,3,1,1
2023007307,3,2023,7,6,2023,1122,0,1,3,2,3,2,1
2023007307,2,2023,7,5,2014,1122,0,1,2,1,3,1,1
2023007307,1,2023,7,12,2019,1122,0,1,3,11,36,11,1
2023056152,1,2023,7,13,2018,2211,0,1,1,6,99,14,1
